Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,serverStatus
0.56267121,0.600652416,0.035637129,0.1375399,0.877456078,0.899029,0.144595,0.128772,0.030962,0.419616,No
0.723867174,0.828000388,0.009089124,0.06779922,0.83754834,0.890177,0.546187,0.226504,0.014754,0.113966,No
0.756557566,0.404705011,0.016269076,0.039442857,0.907293072,0.694053,0.053691,0.168755,0.071567,0.244818,No
0.355,0.111,0.342,0.291,0.911,0.316827,0.445127,0.161967,0.098112,0.451156,No
0.558327282,0.117119981,0.011753619,0.020323809,0.979266212,0.908245,0.141249,0.279551,0.022339,0.350313,No
0.228,0.563,0.032,0.369,0.851,0.293253,0.290939,0.236992,0.163071,0.339072,No
0.178,0.434,0.652,0.779,0.841,0.30262,0.254647,0.205757,0.059698,0.608647,No
0.019,0.332,0.124,0.742,0.991,0.670489,0.143084,0.204781,0.070912,0.429221,No
0.672045676,0.063968754,0.07314297,0.077844731,0.949009752,0.722406,0.176411,0.158669,0.093029,0.160929,No
0.198,0.47,0.11,0.473,0.837,0.37516,0.22654,0.311632,0.055921,0.36194,No
0.434,0.335,0,0.012,0.942,0.437122,0.015058,0.094148,0.155431,0.613695,No
0.284,0.25,0.224,0.103,0.905,0.318685,0.117253,0.276045,0.182637,0.366334,No
0.442901398,0.666126403,0.101353246,0.378826021,0.749238598,0.904417,0.021918,0.067318,0.092752,0.274014,No
0.946,0.22,0.157,0.012,0.739,0.488138,0.152764,0.161601,0.098069,0.267302,No
0.183,0.097,0.118,0.492,0.899,0.431304,0.048166,0.195605,0.22937,0.308956,No
0.117,0.097,0.348,0.612,0.955,0.857904,0.079532,0.211041,0.049819,0.063774,Yes
0.539,0.673,0.47,0.438,0.368,0.095798,0.373211,0.356299,0.438064,0.239397,Yes
0.817,0.571,0.013,0.012,0.401,0.251824,0.281809,0.188787,0.360827,0.140478,Yes
0.123,0.156,0.228,0.16,0.955,0.462973,0.217258,0.262916,0.169787,0.281808,Yes
0.162,0.335,0.496,0.473,0.918,0.14152,0.020462,0.157518,0.692939,0.172837,Yes
0.817,0.571,0.049,0.004,0.401,0.226914,0.328846,0.153035,0.150959,0.192445,Yes
0.158,0.08,0.363,0.601,0.964,0.860111,0.049169,0.226725,0.029866,0.43567,Yes
