Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,serverStatus
0.623,0.225,0.382,0.2,0.778,0.638432,0.173195,0.222931,0.077447,0.276309,No
0.805,0.932,0.157,0.546,0.007,0.303276,0.225267,0.400443,0.21084,0.137543,No
0.646649785,0.629657111,0.050642777,0.142359923,0.78874039,0.614374,0.081677,0.571513,0.022169,0.520945,No
0.299,0.175,0.371,0.231,0.868,0.470191,0.135276,0.234186,0.025455,0.513729,No
0.382,0.166,0.294,0.406,0.925,0.320948,0.492938,0.206456,0.082513,0.473086,No
0.525750162,0.434699972,0.017060848,0.141380793,0.930962586,0.59792,0.048105,0.135038,0.145417,0.362572,No
0.882505386,0.559329915,0.012722773,0.037832721,0.839854696,0.765899,0.055323,0.19881,0.026223,0.592884,No
0.685,0.515,0.326,0.195,0.347,0.623898,0.271198,0.151729,0.074336,0.404548,No
0.48336011,0.547379983,0.040442252,0.094758773,0.961546327,0.944609,0.02032,0.160109,0.032793,0.417052,No
0.445,0.229,0.213,0.671,0.704,0.408785,0.2618,0.082288,0.183002,0.24537,No
0.031,0.403,0.416,0.792,0.975,0.335623,0.078375,0.397855,0.071097,0.538551,No
0.660926905,0.872745592,0.146429774,0.674162954,0.795042305,0.491535,0.089702,0.24425,0.08856,0.552927,No
0.109,0.492,0.114,0.369,0.874,0.603017,0.180319,0.0974,0.099369,0.437069,No
0.542,0.226,0.02,0.074,0.954,0.385485,0.192575,0.122798,0.081666,0.472024,No
0.128111231,0.394434232,0.009768053,0.165415721,0.99,0.727008,0.032926,0.423372,0.01666,0.340527,No
0.744,0.403,0.139,0.103,0.876,0.167473,0.135108,0.412759,0.190819,0.334699,No
0.786045847,0.565886809,0.184278808,0.118193089,0.759930798,0.716843,0.402747,0.384603,0.036875,0.152405,No
0.996,0.897,0.157,0.012,0.102,0.312923,0.224296,0.292007,0.32757,0.093393,No
0.373402576,0.490353641,0.110088985,0.462627367,0.863689745,0.666821,0.178654,0.181829,0.051668,0.299691,No
0.546,0.455,0.246,0.352,0.739,0.411849,0.071188,0.175216,0.044773,0.793115,No
0.195,0.224,0.127,0.602,0.941,0.229563,0.057468,0.514134,0.066277,0.630076,No
0.103,0.344,0.84,0.7,0.633,0.319081,0.489056,0.332684,0.165194,0.127123,No
0.484,0.832,0.091,0.27,0.501,0.475204,0.181873,0.096711,0.095359,0.323698,No
0.593348653,0.39827392,0.090559183,0.176197316,0.944315026,0.37483,0.316679,0.155351,0.162002,0.524681,No
0.478,0.255,0.121,0.186,0.969,0.59737,0.121455,0.160945,0.248841,0.184957,No
0.78677243,0.188908282,0.254967143,0.407759096,0.573397299,0.560773,0.163943,0.178627,0.186083,0.085884,No
0.365419008,0.119506007,0.044616323,0.20196588,0.972372023,0.907665,0.092132,0.232229,0.021043,0.505961,No
0.269,0.021,0.032,0.131,0.991,0.665045,0.184728,0.44841,0.020215,0.535299,No
0.104,0.054,0.127,0.152,0.984,0.872477,0.083759,0.299687,0.030341,0.316504,No
0.885099456,0.671630178,0.024105835,0.134895056,0.515049728,0.90928,0.030893,0.087086,0.031203,0.541633,No
0.162,0.204,0.735,0.578,0.777,0.302197,0.141836,0.428551,0.190169,0.260581,No
0.469,0.46,0.33,0.244,0.701,0.315847,0.523976,0.352055,0.045515,0.560692,No
0.612185888,0.553679155,0.191817374,0.234184902,0.463334696,0.736074,0.077082,0.291739,0.077853,0.315033,No
0.111,0.166,0,0.155,0.81,0.415051,0.12777,0.178553,0.183394,0.378551,No
0.568,0.895,0.018,0.147,0.401,0.361324,0.04206,0.113554,0.724417,0.173053,No
0.295,0.333,0.09,0.245,0.727,0.694542,0.316921,0.109061,0.038154,0.390665,No
0.924091525,0.592300616,0.038400067,0.057823727,0.634608169,0.823066,0.220694,0.598919,0.024225,0.272131,No
0.393,0.877,0.712,0.599,0.136,0.22741,0.158493,0.170246,0.359655,0.165639,No
0.891,0.886,0.021,0.012,0.22,0.436573,0.04703,0.144192,0.202245,0.316353,No
0.152,0.571,0.021,0.458,0.908,0.285834,0.146504,0.250229,0.080718,0.606459,No
0.089500439,0.009951379,0.017699276,0.162064014,0.99,0.366778,0.271581,0.434068,0.03479,0.414889,No
0.033176934,0.070957041,0.584028189,0.364077385,0.99,0.509037,0.155165,0.567016,0.035481,0.295614,No
0.679095863,0.649291168,0.011470022,0.134345856,0.951524628,0.687975,0.205347,0.168725,0.032366,0.555382,No
0.242,0.39,0.337,0.602,0.839,0.238063,0.248357,0.219661,0.053006,0.671005,No
0.453036498,0.548344199,0.037724946,0.30704006,0.938360503,0.553123,0.137919,0.352469,0.147301,0.20399,No
0.552,0.929,0.011,0.092,0.401,0.497204,0.126207,0.156071,0.11781,0.386491,No
0.541,0.432,0.117,0.152,0.697,0.65493,0.3854,0.115986,0.05232,0.230468,No
0.057,0.58,0.007,0.144,0.982,0.539445,0.084697,0.307694,0.065735,0.414606,No
0.611,0.459,0.473,0.274,0.649,0.528616,0.331981,0.085591,0.043639,0.389538,No
0.646611048,0.599572433,0.178985573,0.35165703,0.627726472,0.814726,0.226935,0.676313,0.020136,0.225065,No
0.520916505,0.015136015,0.236491392,0.179263373,0.886648664,0.766555,0.11079,0.569156,0.018453,0.256711,No
0.278498134,0.463250452,0.190931128,0.512794221,0.927402094,0.82634,0.169119,0.375578,0.021102,0.278311,No
0.892384636,0.760276914,0.116847956,0.032275355,0.199800808,0.245101,0.122705,0.166036,0.745102,0.046867,No
0.125,0.51,0.019,0.452,0.788,0.410065,0.427905,0.1548,0.186549,0.181222,No
0.744200541,0.847306856,0.057309541,0.069612601,0.46204803,0.903341,0.191681,0.290044,0.028573,0.109543,No
0.273,0.38,0.339,0.424,0.901,0.244488,0.108326,0.35414,0.226038,0.430025,No
0.657632728,0.061505037,0.224028511,0.18110832,0.780645925,0.539571,0.531805,0.100241,0.089697,0.272345,No
0.527474027,0.532696609,0.111682383,0.277317709,0.741070555,0.925589,0.584539,0.133298,0.035024,0.74409,No
0.829325103,0.701594829,0.009346726,0.210618715,0.70554955,0.530517,0.286636,0.45329,0.018766,0.368444,No
0.514938267,0.548364924,0.039305375,0.211557887,0.848972443,0.846025,0.083422,0.266547,0.026178,0.399659,No
0.035,0.184,0.469,0.622,0.95,0.451774,0.106592,0.549257,0.022808,0.299242,No
0.059,0.109,0.836,0.789,0.927,0.429475,0.152067,0.243562,0.050559,0.402767,No
0.779873854,0.254044194,0.020444403,0.025811516,0.929138306,0.936765,0.181628,0.50946,0.020939,0.398745,No
0.028,0.397,0.221,0.225,0.956,0.549451,0.146278,0.193454,0.037968,0.476154,No
0.210555794,0.26013443,0.094976804,0.397904125,0.99,0.721786,0.093039,0.618118,0.023085,0.33839,No
0.608754402,0.536907596,0.057822374,0.071292669,0.889668419,0.672362,0.158749,0.394783,0.043308,0.542933,No
0.042,0.126,0.06,0.459,0.986,0.44752,0.243759,0.161616,0.081644,0.358426,No
0.322,0.666,0.357,0.51,0.715,0.501931,0.065877,0.438449,0.062499,0.410253,No
0.392,0.096,0.083,0.151,0.912,0.632937,0.197251,0.276921,0.060994,0.253696,No
0.595,0.843,0.259,0.438,0.211,0.475406,0.377973,0.219527,0.027727,0.388109,No
0.199,0.358,0.329,0.583,0.855,0.591331,0.190441,0.233115,0.032292,0.25272,No
0.026,0.221,0.007,0.296,0.99,0.53748,0.163523,0.260405,0.059572,0.49257,No
0.321,0.246,0.225,0.399,0.855,0.293595,0.2826,0.336831,0.038466,0.665286,No
0.632,0.195,0.032,0.191,0.824,0.720124,0.351195,0.203876,0.013543,0.433545,No
0.11869311,0.065596205,0.40203698,0.698818881,0.924884738,0.701469,0.094331,0.332279,0.071828,0.228275,No
0.214,0.53,0.056,0.278,0.962,0.352492,0.297142,0.158665,0.059219,0.462954,No
0.698740326,0.057084786,0.009790584,0.045283655,0.987759689,0.81327,0.178177,0.388821,0.014991,0.47318,No
0.817,0.998,0,0.012,0.401,0.194549,0.020435,0.047128,0.933508,0.168397,No
0.096,0.197,0.265,0.714,0.926,0.365399,0.055942,0.174797,0.090002,0.610052,No
0.29,0.494,0.433,0.617,0.645,0.367389,0.196917,0.360379,0.056903,0.483912,No
0.051,0.052,0.07,0.368,0.995,0.334052,0.090044,0.226135,0.136491,0.51374,No
0.335,0.774,0.009,0.447,0.823,0.168454,0.330763,0.076705,0.289376,0.424091,No
0.817,0.571,0.157,0.012,0.401,0.175925,0.251453,0.251647,0.263312,0.189965,No
0.258,0.058,0.531,0.239,0.79,0.752363,0.301921,0.080326,0.38964,0.158096,No
0.32,0.23,0.274,0.372,0.895,0.519218,0.255185,0.284461,0.013569,0.570237,No
0.247,0.281,0.342,0.221,0.957,0.621916,0.225519,0.158418,0.057621,0.360397,No
0.811,0.878,0.335,0.295,0.315,0.226729,0.29003,0.170806,0.582017,0.048208,Yes
0.155,0.096,0.692,0.638,0.923,0.369569,0.168267,0.327122,0.205765,0.229618,Yes
0.144,0.042,0.039,0.087,0.981,0.644491,0.041953,0.239284,0.344939,0.18773,Yes
0.86,0.13,0.037,0.078,0.813,0.287138,0.466304,0.248636,0.1193,0.236094,Yes
0.146,0.177,0.476,0.465,0.864,0.706225,0.467148,0.086248,0.06538,0.340972,Yes
0.375,0.166,0.078,0.114,0.927,0.245133,0.137361,0.302001,0.319616,0.419055,Yes
0.217,0.208,0.383,0.291,0.948,0.567589,0.123329,0.161992,0.14873,0.369879,Yes
0.057,0.315,0.617,0.713,0.942,0.460377,0.135218,0.152155,0.270198,0.153959,Yes
0.288,0.134,0.157,0.124,0.964,0.438002,0.288116,0.146187,0.067938,0.516643,Yes
0.511,0.146,0.78,0.235,0.325,0.184148,0.520451,0.155662,0.245907,0.216666,Yes
0.174,0.03,0.04,0.148,0.991,0.485902,0.297139,0.114334,0.093829,0.361994,Yes
0.271,0.34,0.067,0.169,0.926,0.460564,0.109447,0.163419,0.36503,0.13874,Yes
0.817,0.571,0.157,0.012,0.401,0.188952,0.216643,0.206727,0.317342,0.222513,Yes
0.463,0.072,0.44,0.448,0.859,0.289952,0.414827,0.041363,0.052818,0.673333,Yes
0.064,0.148,0.063,0.322,0.989,0.450517,0.255301,0.318902,0.072655,0.450296,Yes
0.038,0.036,0.917,0.755,0.905,0.451823,0.344991,0.262938,0.067649,0.340924,Yes
0.326,0.45,0.232,0.385,0.937,0.73226,0.181572,0.326004,0.067945,0.195593,Yes
0.964,0.267,0.446,0.52,0.496,0.171597,0.692424,0.351682,0.115334,0.244159,Yes
0.81,0.122,0.157,0.012,0.904,0.375125,0.21706,0.357426,0.146202,0.252999,Yes
0.569,0.974,0.091,0.48,0.105,0.213126,0.118546,0.089707,0.573216,0.110616,Yes
0.09,0.475,0.1,0.785,0.96,0.317035,0.347252,0.185259,0.055085,0.652667,Yes
0.766,0.517,0.105,0.359,0.752,0.27293,0.430376,0.635089,0.030244,0.278295,Yes
0.17,0.54,0.809,0.688,0.826,0.874601,0.16504,0.478729,0.017292,0.399523,Yes
0.561,0.232,0.352,0.131,0.751,0.205329,0.396783,0.310511,0.157379,0.17452,Yes
0.739,0.35,0.157,0.19,0.126,0.204316,0.301552,0.500593,0.158537,0.287707,Yes
0.003,0.247,0.997,0.989,0.001,0.190515,0.061346,0.066476,0.895154,0.033265,Yes
0.16,0.263,0.621,0.481,0.874,0.416074,0.070398,0.307227,0.205904,0.30604,Yes
0.291,0.423,0.505,0.533,0.686,0.389746,0.085476,0.50244,0.06535,0.683441,Yes
0.932,0.159,0.031,0.001,0.847,0.295693,0.223206,0.387814,0.197749,0.250216,Yes
0.526,0.815,0.147,0.239,0.681,0.384353,0.153826,0.3138,0.204726,0.365609,Yes
0.357,0.046,0.347,0.102,0.97,0.864542,0.307882,0.08579,0.022813,0.339583,Yes
0.027,0.308,0.256,0.679,0.994,0.414254,0.254585,0.42089,0.023631,0.410246,Yes
0.067,0.061,0.903,0.677,0.968,0.397624,0.090599,0.30231,0.125333,0.289403,Yes
0.383,0.236,0.104,0.115,0.951,0.643269,0.45159,0.325946,0.016639,0.554194,Yes
0.754,0.863,0.548,0.17,0.138,0.246218,0.080429,0.122103,0.808552,0.135705,Yes
0.104,0.081,0.565,0.681,0.969,0.673879,0.12936,0.344151,0.037244,0.236908,Yes
0.46,0.673,0.076,0.277,0.828,0.286458,0.178203,0.190823,0.330916,0.344003,Yes
0.012,0.178,0.969,0.93,0.811,0.373754,0.042101,0.150687,0.532372,0.184928,Yes
0.496,0.068,0.19,0.235,0.925,0.317979,0.097073,0.193782,0.268062,0.421602,Yes
0.081,0.571,0.601,0.731,0.965,0.280257,0.092867,0.133393,0.574746,0.286595,Yes
0.024,0.507,0.957,0.936,0.815,0.525775,0.185419,0.269483,0.474493,0.158888,Yes
0.164,0.002,0.054,0.027,0.997,0.441078,0.121742,0.09363,0.244108,0.496939,Yes
0.241,0.096,0.311,0.402,0.965,0.531135,0.396479,0.099008,0.071126,0.351515,Yes
0.666,0.938,0.175,0.265,0.141,0.285043,0.253565,0.287226,0.174673,0.21289,Yes
0.191,0.058,0.259,0.506,0.974,0.621611,0.058297,0.477312,0.01808,0.276206,Yes
0.178,0.19,0.557,0.387,0.866,0.349385,0.223178,0.361557,0.096682,0.30506,Yes
0.18,0.044,0.157,0.359,0.963,0.119133,0.016804,0.189122,0.62826,0.149407,Yes
0.339,0.251,0.126,0.472,0.827,0.415913,0.27468,0.148738,0.185896,0.328414,Yes
0.671,0.863,0.098,0.17,0.138,0.175728,0.027404,0.137601,0.825038,0.076098,Yes
0.817,0.571,0.157,0.012,0.401,0.21082,0.019912,0.146181,0.740208,0.045881,Yes
0.817,0.571,0.157,0.012,0.401,0.066398,0.009866,0.114607,0.673676,0.086265,Yes
0.141,0.38,0.434,0.465,0.849,0.340126,0.222895,0.262847,0.194004,0.223341,Yes
0.526,0.448,0.792,0.185,0.235,0.234178,0.21952,0.400547,0.31449,0.166261,Yes
0.08,0.069,0.178,0.353,0.987,0.678222,0.105977,0.341583,0.030537,0.658004,Yes
0.61,0.151,0.034,0.075,0.828,0.112293,0.332254,0.396375,0.317092,0.391826,Yes
0.441,0.772,0.043,0.207,0.947,0.417089,0.346678,0.240824,0.162994,0.212414,Yes
0.203,0.014,0.028,0.036,0.995,0.472045,0.368043,0.226881,0.093856,0.177502,Yes
0.438,0.402,0.11,0.256,0.877,0.858516,0.413755,0.057112,0.041791,0.191089,Yes
0.51,0.138,0.261,0.599,0.808,0.322258,0.331112,0.21568,0.173464,0.353227,Yes
0.145,0.461,0.304,0.46,0.884,0.523786,0.040415,0.175234,0.674849,0.067246,Yes
0.557,0.408,0.204,0.198,0.728,0.442536,0.322052,0.444852,0.019677,0.464554,Yes
0.083,0.162,0.226,0.41,0.966,0.647433,0.136995,0.390091,0.020259,0.478952,Yes
0.117,0.298,0.198,0.485,0.985,0.733877,0.050102,0.206627,0.027318,0.502101,Yes
0.326,0.332,0.39,0.478,0.798,0.616273,0.290468,0.455897,0.050558,0.154144,Yes
0.327,0.917,0.023,0.138,0.929,0.619897,0.049298,0.017814,0.158864,0.613931,Yes
0.19,0.017,0.512,0.201,0.986,0.188618,0.285829,0.330745,0.237547,0.337446,Yes
0.229,0.205,0.115,0.333,0.912,0.253211,0.20225,0.323138,0.075728,0.559571,Yes
0.255,0.196,0.249,0.357,0.92,0.634244,0.259862,0.340676,0.115103,0.375172,Yes
0.371,0.103,0.67,0.569,0.926,0.308133,0.457562,0.182978,0.074406,0.282469,Yes
0.113,0.182,0.757,0.493,0.86,0.332452,0.297319,0.267442,0.146859,0.257583,Yes
0.946,0.22,0.157,0.012,0.739,0.488138,0.152764,0.161601,0.098069,0.267302,Yes
0.325,0.537,0.505,0.646,0.788,0.669538,0.064585,0.345733,0.191687,0.38634,Yes
0.301,0.615,0.178,0.305,0.915,0.582483,0.633804,0.225758,0.016451,0.382219,Yes
0.328,0.218,0.547,0.359,0.817,0.815791,0.043812,0.325353,0.100672,0.247918,Yes
0.121,0.436,0.484,0.744,0.961,0.540015,0.418283,0.41618,0.016689,0.240146,Yes
0.336,0.481,0.061,0.196,0.826,0.560082,0.4782,0.280599,0.018144,0.274062,Yes
0.642,0.452,0.353,0.164,0.669,0.718793,0.266515,0.092719,0.063097,0.372253,Yes
0.817,0.143,0.566,0.012,0.904,0.243668,0.035014,0.05197,0.752186,0.222551,Yes
0.784,0.335,0.094,0.061,0.621,0.127845,0.180916,0.303793,0.333948,0.407335,Yes
0.774,0.477,0.247,0.172,0.802,0.569463,0.769029,0.211891,0.028784,0.171808,Yes
